Name,Group
Walter White,White Family
Jesse Pinkman,Independent
Skyler White,White Family
Hank Schrader,DEA
Marie Schrader,White Family
Walter White Jr.,White Family
Saul Goodman,Independent
Mike Ehrmantraut,Fring Organization
Gus Fring,Fring Organization
Tuco Salamanca,Salamanca Family
Hector Salamanca,Salamanca Family
Marco Salamanca,Salamanca Family
Leonel Salamanca,Salamanca Family
Lalo Salamanca,Salamanca Family
Nacho Varga,Salamanca Family
Jimmy McGill,Independent
Kim Wexler,Independent
Chuck McGill,HHM
Howard Hamlin,HHM
Lydia Rodarte-Quayle,Madrigal
Todd Alquist,White Supremacist Gang
Jack Welker,White Supremacist Gang
Kenny,White Supremacist Gang
Frankie,White Supremacist Gang
Badger Mayhew,Pinkman Circle
Skinny Pete,Pinkman Circle
Combo,Pinkman Circle
Huell Babineaux,Saul's Associates
Patrick Kuby,Saul's Associates
Francesca Liddy,Saul's Associates
Steven Gomez,DEA
George Merkert,DEA
Pamela,DEA
Tim Roberts,Albuquerque PD
Andrea Cantillo,Independent
Brock Cantillo,Independent
Jane Margolis,Independent
Donald Margolis,Independent
Emilio Koyama,Independent
Krazy-8,Salamanca Network
No-Doze,Tuco's Gang
Gonzo,Tuco's Gang
Tortuga,Cartel
Eladio Vuente,Cartel
Juan Bolsa,Cartel
Gaff,Cartel
Benicio Fuentes,Cartel
Tyrus Kitt,Fring Organization
Victor,Fring Organization
Duane Chow,Fring Organization
Dennis Markowski,Fring Organization
Chris Mara,Fring Organization
Ron Forenall,Fring Organization
Peter Schuler,Madrigal
Bogdan Wolynetz,Independent
Ted Beneke,Independent
Wendy,Independent
Spooge,Independent
Spooge's Woman,Independent
The Cousins' Handler,Cartel
Ed Galbraith,Independent
Holly White,White Family
Adam Margolis,Independent
Bill Oakley,DA Office
Ernesto,HHM
Omar,HHM
Clifford Main,Davis & Main
Paige Novick,Mesa Verde
Kevin Wachtell,Mesa Verde
Erin Brill,Davis & Main
Rich Schweikart,Schweikart & Cokely
Viola Goto,Schweikart & Cokely
Dr. Caldera,Independent
Krazy-8's cousin,Salamanca Network
Man Mountain,Independent
Domingo Molina,Salamanca Network
Héctor's nurse,Independent
Werner Ziegler,Independent
Casper,Independent
Kai,Independent
Rainer,Independent
Arthur,Independent
Margarethe Ziegler,Independent
Fred Whalen,TravelWire
Daniel Wormald,Independent
Pryce,Independent
Ximenez Lecerda,Cartel
Gale Boetticher,Fring Organization
Clovis,Independent
Tucker,Pinkman Circle
Louis Corbett,White Family
Carmen Molina,Independent
Pamela Orbison,DEA
Brenda,Independent
Jeff,Independent
Marion,Independent
Buddy,Independent
Man in the Hat (Gene Takavic),Independent
Dr. Barry Goodman,Independent
Dr. Delcavoli,Independent
Huell's cousin,Independent
